node_id,date,discharge_avg,year,week
67.53232_24.06049,2019-01-06,1586.0312,2019,1
67.53232_24.06049,2019-01-13,1470.7233,2019,2
67.53232_24.06049,2019-01-20,1394.3572,2019,3
67.53232_24.06049,2019-01-27,1397.0178,2019,4
67.53232_24.06049,2019-02-03,1485.4241,2019,5
67.53232_24.06049,2019-02-10,1818.2634,2019,6
67.53232_24.06049,2019-02-17,1820.7634,2019,7
67.53232_24.06049,2019-02-24,2055.8706,2019,8
67.53232_24.06049,2019-03-03,2260.0535,2019,9
67.53232_24.06049,2019-03-10,3173.5178,2019,10
67.53232_24.06049,2019-03-17,2982.884,2019,11
67.53232_24.06049,2019-03-24,2691.6294,2019,12
67.53232_24.06049,2019-03-31,2530.2722,2019,13
67.53232_24.06049,2019-04-07,2374.4866,2019,14
67.53232_24.06049,2019-04-14,2055.5981,2019,15
67.53232_24.06049,2019-04-21,2223.9375,2019,16
67.53232_24.06049,2019-04-28,3061.6384,2019,17
67.53232_24.06049,2019-05-05,4091.308,2019,18
67.53232_24.06049,2019-05-12,4154.7725,2019,19
67.53232_24.06049,2019-05-19,4036.1294,2019,20
67.53232_24.06049,2019-05-26,3697.576,2019,21
67.53232_24.06049,2019-06-02,2722.009,2019,22
67.53232_24.06049,2019-06-09,1096.5223,2019,23
67.53232_24.06049,2019-06-16,760.65625,2019,24
67.53232_24.06049,2019-06-23,1044.2812,2019,25
67.53232_24.06049,2019-06-30,2033.058,2019,26
67.53232_24.06049,2019-07-07,2439.5737,2019,27
67.53232_24.06049,2019-07-14,2958.9553,2019,28
67.53232_24.06049,2019-07-21,10444.328,2019,29
67.53232_24.06049,2019-07-28,13008.962,2019,30
67.53232_24.06049,2019-08-04,13295.464,2019,31
67.53232_24.06049,2019-08-11,14405.446,2019,32
67.53232_24.06049,2019-08-18,12951.0205,2019,33
67.53232_24.06049,2019-08-25,12160.224,2019,34
67.53232_24.06049,2019-09-01,11329.4375,2019,35
67.53232_24.06049,2019-09-08,8781.541,2019,36
67.53232_24.06049,2019-09-15,7532.617,2019,37
67.53232_24.06049,2019-09-22,6110.9307,2019,38
67.53232_24.06049,2019-09-29,5007.5347,2019,39
67.53232_24.06049,2019-10-06,4265.462,2019,40
67.53232_24.06049,2019-10-13,4081.4753,2019,41
67.53232_24.06049,2019-10-20,3683.5278,2019,42
67.53232_24.06049,2019-10-27,3500.6584,2019,43
67.53232_24.06049,2019-11-03,3316.4084,2019,44
67.53232_24.06049,2019-11-10,3100.395,2019,45
67.53232_24.06049,2019-11-17,2995.789,2019,46
67.53232_24.06049,2019-11-24,3077.8638,2019,47
67.53232_24.06049,2019-12-01,2718.5066,2019,48
67.53232_24.06049,2019-12-08,2599.1384,2019,49
67.53232_24.06049,2019-12-15,2522.2678,2019,50
67.53232_24.06049,2019-12-22,2194.096,2019,51
67.53232_24.06049,2019-12-29,2279.9978,2019,52
67.53232_24.06049,2020-01-05,2117.6072,2020,1
67.53232_24.06049,2020-01-12,1859.9286,2020,2
67.53232_24.06049,2020-01-19,1747.0625,2020,3
67.53232_24.06049,2020-01-26,1998.8192,2020,4
67.53232_24.06049,2020-02-02,2227.8438,2020,5
67.53232_24.06049,2020-02-09,1994.1517,2020,6
67.53232_24.06049,2020-02-16,2008.3438,2020,7
67.53232_24.06049,2020-02-23,1791.6719,2020,8
67.53232_24.06049,2020-03-01,1536.9241,2020,9
67.53232_24.06049,2020-03-08,1684.5358,2020,10
67.53232_24.06049,2020-03-15,1894.6473,2020,11
67.53232_24.06049,2020-03-22,3072.4956,2020,12
67.53232_24.06049,2020-03-29,3180.1606,2020,13
67.53232_24.06049,2020-04-05,2737.8572,2020,14
67.53232_24.06049,2020-04-12,3550.0447,2020,15
67.53232_24.06049,2020-04-19,3412.9956,2020,16
67.53232_24.06049,2020-04-26,2921.442,2020,17
67.53232_24.06049,2020-05-03,3367.866,2020,18
67.53232_24.06049,2020-05-10,3408.625,2020,19
67.53232_24.06049,2020-05-17,3479.5312,2020,20
67.53232_24.06049,2020-05-24,3745.5803,2020,21
67.53232_24.06049,2020-05-31,3336.5981,2020,22
67.53232_24.06049,2020-06-07,1608.3661,2020,23
67.53232_24.06049,2020-06-14,1415.4464,2020,24
67.53232_24.06049,2020-06-21,2143.058,2020,25
67.53232_24.06049,2020-06-28,2880.3616,2020,26
67.53232_24.06049,2020-07-05,5623.8594,2020,27
67.53232_24.06049,2020-07-12,9199.995,2020,28
67.53232_24.06049,2020-07-19,10131.493,2020,29
67.53232_24.06049,2020-07-26,9781.614,2020,30
67.53232_24.06049,2020-08-02,10053.4375,2020,31
67.53232_24.06049,2020-08-09,9409.386,2020,32
67.53232_24.06049,2020-08-16,8830.951,2020,33
67.53232_24.06049,2020-08-23,9134.617,2020,34
67.53232_24.06049,2020-08-30,12727.545,2020,35
67.53232_24.06049,2020-09-06,12104.752,2020,36
67.53232_24.06049,2020-09-13,11790.399,2020,37
67.53232_24.06049,2020-09-20,9073.172,2020,38
67.53232_24.06049,2020-09-27,7118.309,2020,39
67.53232_24.06049,2020-10-04,5699.808,2020,40
67.53232_24.06049,2020-10-11,4631.5557,2020,41
67.53232_24.06049,2020-10-18,3921.5447,2020,42
67.53232_24.06049,2020-10-25,3644.3918,2020,43
67.53232_24.06049,2020-11-01,3500.9944,2020,44
67.53232_24.06049,2020-11-08,3193.2344,2020,45
67.53232_24.06049,2020-11-15,3014.808,2020,46
67.53232_24.06049,2020-11-22,2681.7556,2020,47
67.53232_24.06049,2020-11-29,2473.22,2020,48
67.53232_24.06049,2020-12-06,2494.3528,2020,49
67.53232_24.06049,2020-12-13,2236.4543,2020,50
67.53232_24.06049,2020-12-20,1987.4319,2020,51
67.53232_24.06049,2020-12-27,1966.413,2020,52
67.53232_24.06049,2021-01-03,2007.3505,2021,53
67.53232_24.06049,2021-01-10,1808.5312,2021,1
67.53232_24.06049,2021-01-17,1801.0736,2021,2
