node_id,date,week_of_year,month,rainfall_sum_mm
67.66363_24.10645,2019-01-06,1,1,0.0011455268
67.53232_24.06049,2019-01-06,1,1,0.0064950436
67.65088_23.93122,2019-01-06,1,1,0.0011455268
67.71338_24.06642,2019-01-06,1,1,0.0011455268
67.66311_24.10854,2019-01-06,1,1,0.0011455268
72.70693_34.08552,2019-01-06,1,1,10.237476
72.47128_34.02065,2019-01-06,1,1,6.6117496
72.23317_33.91982,2019-01-06,1,1,4.2993355
72.12999_33.77870,2019-01-06,1,1,5.049931
71.97252_33.61468,2019-01-06,1,1,3.9093254
71.85105_33.40379,2019-01-06,1,1,3.8803759
71.71945_33.24674,2019-01-06,1,1,3.8317313
71.70609_33.02512,2019-01-06,1,1,1.7373563
71.48557_32.90629,2019-01-06,1,1,1.8037727
71.37124_32.69811,2019-01-06,1,1,1.1455697
71.34755_32.45341,2019-01-06,1,1,1.3743862
71.23994_32.21522,2019-01-06,1,1,2.3092966
71.08638_32.01294,2019-01-06,1,1,2.8749409
70.94959_31.78926,2019-01-06,1,1,1.9258784
70.85194_31.54676,2019-01-06,1,1,0.7932931
70.77297_31.29466,2019-01-06,1,1,0.18887967
70.82566_31.03697,2019-01-06,1,1,0.11091679
70.75353_30.79319,2019-01-06,1,1,0.020647421
70.84610_30.55090,2019-01-06,1,1,0.051755458
70.77472_30.30453,2019-01-06,1,1,0.020006672
70.83212_30.05749,2019-01-06,1,1,0.015391037
70.78543_29.81730,2019-01-06,1,1,0.112010166
70.63685_29.60369,2019-01-06,1,1,0.17508306
70.71329_29.37555,2019-01-06,1,1,0.17508306
70.66707_29.12675,2019-01-06,1,1,0.09657815
70.50285_28.95128,2019-01-06,1,1,0.11469424
70.30300_28.81676,2019-01-06,1,1,0.008679926
70.08207_28.67729,2019-01-06,1,1,0.082412735
69.88257_28.54229,2019-01-06,1,1,0.23614056
69.69879_28.38642,2019-01-06,1,1,0.041557476
69.49930_28.22054,2019-01-06,1,1,0.15226938
69.29196_28.16882,2019-01-06,1,1,0.13616681
69.07757_28.06357,2019-01-06,1,1,0.2213791
68.93207_27.94748,2019-01-06,1,1,0.2213791
68.90117_27.76991,2019-01-06,1,1,0.053634867
68.78102_27.67316,2019-01-06,1,1,0.23211539
68.63831_27.70668,2019-01-06,1,1,0.23211539
68.41704_27.62784,2019-01-06,1,1,0.14287606
68.32214_27.46151,2019-01-06,1,1,-4.4703484e-05
68.18257_27.33304,2019-01-06,1,1,-4.4703484e-05
68.10280_27.19338,2019-01-06,1,1,-4.4703484e-05
67.99820_26.98992,2019-01-06,1,1,-4.4703484e-05
67.89980_26.80404,2019-01-06,1,1,-4.4703484e-05
67.92720_26.55727,2019-01-06,1,1,-4.4703484e-05
67.93257_26.31534,2019-01-06,1,1,-4.4703484e-05
68.11690_26.15969,2019-01-06,1,1,-4.4703484e-05
68.24737_25.94900,2019-01-06,1,1,-4.4703484e-05
68.35468_25.77962,2019-01-06,1,1,-4.4703484e-05
68.37955_25.60717,2019-01-06,1,1,-4.4703484e-05
68.31064_25.39389,2019-01-06,1,1,-4.4703484e-05
68.33617_25.17508,2019-01-06,1,1,-4.4703484e-05
68.27357_25.00018,2019-01-06,1,1,-4.4703484e-05
68.14642_24.88837,2019-01-06,1,1,-4.4703484e-05
