edge_id,from_node_id,to_node_id,river_name,length_km,wkt,edge_type
1,67.66363_24.10645,67.53232_24.06049,Indus,17.231488421390637,"LINESTRING (67.66363449836902 24.106454116469113, 67.6640625 24.104754949994117, 67.65810546875002 24.08380768436912, 67.63974609375 24.070819403119117, 67.616455078125 24.065204168744117, 67.57314453125002 24.06854889530662, 67.55234375 24.06659577030662, 67.53232421875 24.06049225468162)",0
2,67.65088_23.93122,67.71338_24.06642,Indus,21.852341033961785,"LINESTRING (67.65087890625 23.93121979374412, 67.668701171875 23.943719793744123, 67.7076171875 23.94745514530662, 67.72548828125002 23.95355866093162, 67.73134765625002 23.96515534061912, 67.72890625000002 23.980340887494123, 67.72265625 23.99738190311912, 67.71923828125 24.015008856244123, 67.71982421875 24.04999420780662, 67.71337890625 24.066424871869117)",0
3,67.66363_24.10645,67.66311_24.10854,,0.2383328341389612,"LINESTRING (67.66363449836902 24.106454116469113, 67.66311003853743 24.108536222000556)",0
4,72.70693_34.08552,72.47128_34.02065,Indus,29.84433197900731,"LINESTRING (72.70693359375002 34.08551666874412, 72.66748046875 34.059198309369116, 72.65185546875 34.04352448124412, 72.645751953125 34.02326080936912, 72.63320312500002 34.013788153119116, 72.60498046875 34.01337311405662, 72.509521484375 34.02265045780662, 72.47128334955151 34.02065194901794)",0
5,72.47128_34.02065,72.23317_33.91982,Indus,29.84433197900645,"LINESTRING (72.47128334955151 34.02065194901794, 72.46748046875001 34.02045319218162, 72.4306640625 34.01129791874412, 72.398681640625 33.99318268436912, 72.36669921875 33.969354559369116, 72.348388671875 33.96100494999412, 72.25498046875 33.94440338749412, 72.24033203125 33.93793366093162, 72.23317492760744 33.91982401989664)",0
6,72.23317_33.91982,72.12999_33.77870,Indus,29.84433197900712,"LINESTRING (72.23317492760744 33.91982401989664, 72.225830078125 33.901239324994116, 72.24130859375 33.804803778119116, 72.23408203125001 33.765985418744116, 72.22314453125 33.77423737186912, 72.21083984375002 33.776483465619116, 72.1982421875 33.77350494999412, 72.18642578125002 33.765985418744116, 72.171875 33.773065496869116, 72.152587890625 33.77728912968162, 72.1299891526097 33.77870337328645)",0
7,72.12999_33.77870,71.97252_33.61468,Indus,29.84433197900597,"LINESTRING (72.1299891526097 33.77870337328645, 72.11474609375 33.779657293744116, 72.08740234375 33.789911199994116, 72.08291015625002 33.78815338749412, 72.06289062500002 33.765985418744116, 72.05283203125 33.760858465619116, 72.03173828125 33.75397369999412, 72.021875 33.74616119999412, 72.01015625000002 33.71600983280662, 72.0048828125 33.71137116093162, 71.9990234375 33.70343659061912, 71.97929687500002 33.66449616093162, 71.97412109375 33.64996979374412, 71.97252294222437 33.61467728088639)",0
8,71.97252_33.61468,71.85105_33.40379,Indus,29.844331979007368,"LINESTRING (71.97252294222437 33.61467728088639, 71.97177734375 33.59821198124412, 71.953125 33.57050202030662, 71.95302734375002 33.55988190311912, 71.95556640625 33.54713776249412, 71.95302734375002 33.52643463749412, 71.94472656250002 33.51564362186912, 71.90175781250002 33.48854401249412, 71.8970703125 33.48163483280662, 71.89248046875002 33.46796295780662, 71.88818359375 33.46124909061912, 71.87939453125 33.45184967655662, 71.87353515625 33.443475653119116, 71.87255859375 33.43451569218162, 71.8779296875 33.42340729374412, 71.8677734375 33.42084381718162, 71.86337890625 33.41530182499412, 71.859375 33.40875885624412, 71.85105290810334 33.40378871802806)",0
9,71.85105_33.40379,71.71945_33.24674,Indus,29.84433197900692,"LINESTRING (71.85105290810334 33.40378871802806, 71.8505859375 33.40350983280662, 71.841796875 33.40216705936912, 71.812744140625 33.40350983280662, 71.79677734375002 33.400018621869116, 71.74072265625 33.37555573124412, 71.72314453125 33.35524323124412, 71.72236328125001 33.33612702030662, 71.725 33.31867096561912, 71.71689453125 33.303583074994116, 71.7046875 33.28961823124412, 71.698974609375 33.27252838749412, 71.70322265625 33.25653717655662, 71.71945138611937 33.24674165866586)",0
10,71.71945_33.24674,71.70609_33.02512,Indus,29.84433197900708,"LINESTRING (71.71945138611937 33.24674165866586, 71.72089843750001 33.24586823124412, 71.712890625 33.24586823124412, 71.7265625 33.23114655155662, 71.74072265625 33.21942780155662, 71.75107421875 33.20538971561912, 71.75439453125 33.18378327030662, 71.74951171875 33.163446356244116, 71.740234375 33.14996979374412, 71.72958984375 33.13971588749412, 71.72089843750001 33.12916901249412, 71.712890625 33.11085846561912, 71.7109375 33.09430573124412, 71.712890625 33.054071356244116, 71.71875 33.03717682499412, 71.71845703125001 33.029413153119116, 71.70609207172959 33.025121971794555)",0
11,71.70609_33.02512,71.48557_32.90629,Indus,29.844331979006093,"LINESTRING (71.70609207172959 33.025121971794555, 71.699462890625 33.022821356244116, 71.69404296875001 33.01508209843162, 71.690673828125 33.005975653119116, 71.68544921875002 32.99884674686912, 71.64931640625002 32.978631903119116, 71.611083984375 32.96405670780662, 71.59951171875002 32.96185944218162, 71.57275390625 32.96063873905662, 71.5494140625 32.95416901249412, 71.55166015625002 32.95558502811912, 71.54189453125002 32.95294830936912, 71.5337890625 32.949090887494116, 71.526953125 32.94337799686912, 71.5126953125 32.92018463749412, 71.50673828125002 32.91481354374412, 71.49814453125 32.91071198124412, 71.48557385732205 32.90629022127755)",0
12,71.48557_32.90629,71.37124_32.69811,Indus,29.84433197900741,"LINESTRING (71.48557385732205 32.90629022127755, 71.4619140625 32.89796784061912, 71.447998046875 32.88727448124412, 71.4375 32.86896393436912, 71.4302734375 32.84254791874412, 71.426025390625 32.83454010624412, 71.40908203125002 32.81642487186912, 71.405029296875 32.808954168744116, 71.403076171875 32.79010651249412, 71.412841796875 32.75311920780662, 71.4140625 32.73439362186912, 71.41171875 32.72565338749412, 71.40771484375 32.71876862186912, 71.40244140625 32.71332428593162, 71.39609375 32.70900299686912, 71.37123888277705 32.69811474081502)",0
13,71.37124_32.69811,71.34755_32.45341,Indus,29.844331979006185,"LINESTRING (71.37123888277705 32.69811474081502, 71.36416015625002 32.69501373905662, 71.3544921875 32.68891022343162, 71.340576171875 32.673700262494116, 71.33144531250002 32.65607330936912, 71.32587890625001 32.63678619999412, 71.32275390625 32.61647369999412, 71.32343750000001 32.59357330936912, 71.3296875 32.57428619999412, 71.34804687500002 32.535272528119116, 71.350830078125 32.525018621869116, 71.34754847080359 32.4534079149755)",0
14,71.34755_32.45341,71.23994_32.21522,Indus,29.844331979007386,"LINESTRING (71.34754847080359 32.4534079149755, 71.34658203125002 32.43231842655662, 71.340576171875 32.41510651249412, 71.33144531250002 32.399286199994116, 71.29384765625002 32.35614655155662, 71.28339843750001 32.33991119999412, 71.27871093750002 32.32233307499412, 71.2783203125 32.30202057499412, 71.27646484375 32.292596746869116, 71.271875 32.282831121869116, 71.251953125 32.254510809369116, 71.24716796875 32.243524481244116, 71.23993769852827 32.21521697833468)",0
15,71.23994_32.21522,71.08638_32.01294,Indus,29.84433197900701,"LINESTRING (71.23993769852827 32.21521697833468, 71.23652343750001 32.20184967655662, 71.228759765625 32.181756903119116, 71.215576171875 32.16547272343162, 71.20673828125001 32.15968659061912, 71.17763671875002 32.14716217655662, 71.16787109375002 32.14081452030662, 71.132080078125 32.105829168744116, 71.12343750000002 32.09406159061912, 71.1171875 32.08112213749412, 71.11464843750002 32.066522528119116, 71.11435546875 32.047479559369116, 71.1123046875 32.03900787968162, 71.10693359375 32.03053619999412, 71.08638426323337 32.01293810311551)",0
16,71.08638_32.01294,70.94959_31.78926,Indus,29.84433197900597,"LINESTRING (71.08638426323337 32.01293810311551, 71.07021484375002 31.99909088749412, 71.0546875 31.982196356244117, 71.036865234375 31.940204168744117, 71.023046875 31.92584869999412, 71.00732421875 31.91290924686912, 70.9927734375 31.89789459843162, 70.9833984375 31.879266668744116, 70.973876953125 31.83869049686912, 70.966796875 31.81891510624412, 70.94958962767336 31.7892641998338)",0
17,70.94959_31.78926,70.85194_31.54676,Indus,29.8443319790071,"LINESTRING (70.94958962767336 31.7892641998338, 70.923583984375 31.74445221561912, 70.90576171875 31.721454168744117, 70.89931640625002 31.709588934369116, 70.89931640625002 31.69513580936912, 70.90419921875002 31.678827215619116, 70.90468750000002 31.67291901249412, 70.9033203125 31.663690496869116, 70.85193976899264 31.546757161724965)",0
18,70.85194_31.54676,70.77297_31.29466,Indus,29.84433197900667,"LINESTRING (70.85193976899264 31.546757161724965, 70.8267578125 31.48944733280662, 70.801025390625 31.45368073124412, 70.79541015625 31.440936590619117, 70.79140625000002 31.42633698124412, 70.78818359375 31.379657293744117, 70.7729701410555 31.294655714891917)",0
19,70.77297_31.29466,70.82566_31.03697,Indus,29.8443319790072,"LINESTRING (70.7729701410555 31.294655714891917, 70.76748046875002 31.26398346561912, 70.76806640625 31.24982330936912, 70.771484375 31.235956121869116, 70.78164062500002 31.20929596561912, 70.784423828125 31.19513580936912, 70.788818359375 31.13825104374412, 70.79335937500002 31.12543366093162, 70.8140625 31.09162018436912, 70.818603515625 31.078143621869117, 70.82566203678333 31.03697224774739)",0
20,70.82566_31.03697,70.75353_30.79319,Indus,29.8443319790066,"LINESTRING (70.82566203678333 31.03697224774739, 70.83583984375002 30.97760651249412, 70.835205078125 30.948260809369117, 70.82900390625002 30.91986725468162, 70.8193359375 30.88385651249412, 70.814697265625 30.872674871869116, 70.796875 30.84674713749412, 70.76552734375002 30.81305573124412, 70.75722656250002 30.80170319218162, 70.7535261211609 30.79318890237482)",0
21,70.75353_30.79319,70.84610_30.55090,Indus,29.84433197900681,"LINESTRING (70.7535261211609 30.79318890237482, 70.751708984375 30.78900787968162, 70.75 30.774432684369117, 70.751220703125 30.76642487186912, 70.75996093750001 30.74433014530662, 70.76210937500002 30.736835028119117, 70.76572265625 30.695086981244117, 70.77138671875002 30.67731354374412, 70.78076171875 30.66132233280662, 70.814453125 30.62543366093162, 70.830322265625 30.59943268436912, 70.84169921875002 30.57099030155662, 70.84609869926938 30.550904980877867)",0
22,70.84610_30.55090,70.77472_30.30453,Indus,29.844331979006665,"LINESTRING (70.84609869926938 30.550904980877867, 70.84804687500002 30.542010809369117, 70.84970703125 30.522333074994116, 70.84902343750002 30.50299713749412, 70.845458984375 30.48407623905662, 70.835546875 30.45697662968162, 70.829833984375 30.41657135624412, 70.815185546875 30.36395905155662, 70.81103515625 30.35614655155662, 70.80517578125 30.349725653119116, 70.78505859375002 30.33746979374412, 70.779541015625 30.33136627811912, 70.7740234375 30.31586334843162, 70.77472305134344 30.304526424104974)",0
23,70.77472_30.30453,70.83212_30.05749,Indus,29.84433197900693,"LINESTRING (70.77472305134344 30.304526424104974, 70.77509765625001 30.298456121869116, 70.780517578125 30.28143952030662, 70.80185546875 30.237665106244116, 70.812255859375 30.22565338749412, 70.81591796875 30.219501043744117, 70.81728515625002 30.21051666874412, 70.81640625 30.20246002811912, 70.805419921875 30.171014715619116, 70.8037109375 30.16229889530662, 70.80185546875 30.10944244999412, 70.80615234375 30.093524481244117, 70.83212250531741 30.057486495217727)",0
