node_id,date,year,week,discharge_avg,rainfall_sum_mm,elevation_m
67.53232_24.06049,2019-01-06,2019,1,1586.0312,0.1,1.0
67.53232_24.06049,2019-01-13,2019,2,1470.7233,3.0999997,1.0
67.53232_24.06049,2019-01-20,2019,3,1394.3572,0.0,1.0
67.53232_24.06049,2019-01-27,2019,4,1397.0178,3.7,1.0
67.53232_24.06049,2019-02-03,2019,5,1485.4241,1.6,1.0
67.53232_24.06049,2019-02-10,2019,6,1818.2634,0.0,1.0
67.53232_24.06049,2019-02-17,2019,7,1820.7634,0.0,1.0
67.53232_24.06049,2019-02-24,2019,8,2055.8706,0.0,1.0
67.53232_24.06049,2019-03-03,2019,9,2260.0535,4.4,1.0
67.53232_24.06049,2019-03-10,2019,10,3173.5178,1.4000001,1.0
67.53232_24.06049,2019-03-17,2019,11,2982.884,0.6,1.0
67.53232_24.06049,2019-03-24,2019,12,2691.6294,0.0,1.0
67.53232_24.06049,2019-03-31,2019,13,2530.2722,0.0,1.0
67.53232_24.06049,2019-04-07,2019,14,2374.4866,0.0,1.0
67.53232_24.06049,2019-04-14,2019,15,2055.5981,0.0,1.0
67.53232_24.06049,2019-04-21,2019,16,2223.9375,0.0,1.0
67.53232_24.06049,2019-04-28,2019,17,3061.6384,0.0,1.0
67.53232_24.06049,2019-05-05,2019,18,4091.308,0.0,1.0
67.53232_24.06049,2019-05-12,2019,19,4154.7725,0.0,1.0
67.53232_24.06049,2019-05-19,2019,20,4036.1294,0.5,1.0
67.53232_24.06049,2019-05-26,2019,21,3697.576,0.0,1.0
67.53232_24.06049,2019-06-02,2019,22,2722.009,0.0,1.0
67.53232_24.06049,2019-06-09,2019,23,1096.5223,0.0,1.0
67.53232_24.06049,2019-06-16,2019,24,760.65625,1.0,1.0
67.53232_24.06049,2019-06-23,2019,25,1044.2812,1.3000001,1.0
67.53232_24.06049,2019-06-30,2019,26,2033.058,2.7,1.0
67.53232_24.06049,2019-07-07,2019,27,2439.5737,3.0,1.0
67.53232_24.06049,2019-07-14,2019,28,2958.9553,3.7000003,1.0
67.53232_24.06049,2019-07-21,2019,29,10444.328,2.9,1.0
67.53232_24.06049,2019-07-28,2019,30,13008.962,7.3,1.0
67.53232_24.06049,2019-08-04,2019,31,13295.464,180.0,1.0
67.53232_24.06049,2019-08-11,2019,32,14405.446,92.8,1.0
67.53232_24.06049,2019-08-18,2019,33,12951.0205,5.1,1.0
67.53232_24.06049,2019-08-25,2019,34,12160.224,1.8,1.0
67.53232_24.06049,2019-09-01,2019,35,11329.4375,50.8,1.0
67.53232_24.06049,2019-09-08,2019,36,8781.541,17.399998,1.0
67.53232_24.06049,2019-09-15,2019,37,7532.617,0.6,1.0
67.53232_24.06049,2019-09-22,2019,38,6110.9307,0.0,1.0
67.53232_24.06049,2019-09-29,2019,39,5007.5347,38.8,1.0
67.53232_24.06049,2019-10-06,2019,40,4265.462,17.5,1.0
67.53232_24.06049,2019-10-13,2019,41,4081.4753,0.4,1.0
67.53232_24.06049,2019-10-20,2019,42,3683.5278,0.0,1.0
67.53232_24.06049,2019-10-27,2019,43,3500.6584,0.0,1.0
67.53232_24.06049,2019-11-03,2019,44,3316.4084,3.5,1.0
67.53232_24.06049,2019-11-10,2019,45,3100.395,3.1000001,1.0
67.53232_24.06049,2019-11-17,2019,46,2995.789,1.3000001,1.0
67.53232_24.06049,2019-11-24,2019,47,3077.8638,0.0,1.0
67.53232_24.06049,2019-12-01,2019,48,2718.5066,0.0,1.0
67.53232_24.06049,2019-12-08,2019,49,2599.1384,0.8,1.0
67.53232_24.06049,2019-12-15,2019,50,2522.2678,2.4000003,1.0
67.53232_24.06049,2019-12-22,2019,51,2194.096,0.0,1.0
67.53232_24.06049,2019-12-29,2019,52,2279.9978,0.0,1.0
67.53232_24.06049,2020-01-05,2020,1,2117.6072,0.0,1.0
67.53232_24.06049,2020-01-12,2020,2,1859.9286,15.100001,1.0
67.53232_24.06049,2020-01-19,2020,3,1747.0625,0.0,1.0
67.53232_24.06049,2020-01-26,2020,4,1998.8192,0.0,1.0
67.53232_24.06049,2020-02-02,2020,5,2227.8438,0.0,1.0
67.53232_24.06049,2020-02-09,2020,6,1994.1517,0.0,1.0
67.53232_24.06049,2020-02-16,2020,7,2008.3438,0.0,1.0
67.53232_24.06049,2020-02-23,2020,8,1791.6719,0.0,1.0
67.53232_24.06049,2020-03-01,2020,9,1536.9241,0.0,1.0
67.53232_24.06049,2020-03-08,2020,10,1684.5358,0.4,1.0
67.53232_24.06049,2020-03-15,2020,11,1894.6473,0.0,1.0
67.53232_24.06049,2020-03-22,2020,12,3072.4956,0.0,1.0
67.53232_24.06049,2020-03-29,2020,13,3180.1606,4.3,1.0
67.53232_24.06049,2020-04-05,2020,14,2737.8572,0.0,1.0
67.53232_24.06049,2020-04-12,2020,15,3550.0447,0.0,1.0
67.53232_24.06049,2020-04-19,2020,16,3412.9956,0.0,1.0
67.53232_24.06049,2020-04-26,2020,17,2921.442,0.0,1.0
67.53232_24.06049,2020-05-03,2020,18,3367.866,0.0,1.0
67.53232_24.06049,2020-05-10,2020,19,3408.625,0.0,1.0
67.53232_24.06049,2020-05-17,2020,20,3479.5312,0.0,1.0
67.53232_24.06049,2020-05-24,2020,21,3745.5803,0.0,1.0
67.53232_24.06049,2020-05-31,2020,22,3336.5981,0.2,1.0
67.53232_24.06049,2020-06-07,2020,23,1608.3661,0.9,1.0
67.53232_24.06049,2020-06-14,2020,24,1415.4464,1.8000001,1.0
67.53232_24.06049,2020-06-21,2020,25,2143.058,2.1000001,1.0
67.53232_24.06049,2020-06-28,2020,26,2880.3616,3.9000003,1.0
67.53232_24.06049,2020-07-05,2020,27,5623.8594,0.90000004,1.0
67.53232_24.06049,2020-07-12,2020,28,9199.995,80.700005,1.0
67.53232_24.06049,2020-07-19,2020,29,10131.493,1.1,1.0
67.53232_24.06049,2020-07-26,2020,30,9781.614,34.0,1.0
67.53232_24.06049,2020-08-02,2020,31,10053.4375,3.4,1.0
67.53232_24.06049,2020-08-09,2020,32,9409.386,61.6,1.0
67.53232_24.06049,2020-08-16,2020,33,8830.951,7.5,1.0
67.53232_24.06049,2020-08-23,2020,34,9134.617,24.900002,1.0
67.53232_24.06049,2020-08-30,2020,35,12727.545,120.00001,1.0
67.53232_24.06049,2020-09-06,2020,36,12104.752,4.9,1.0
67.53232_24.06049,2020-09-13,2020,37,11790.399,1.6,1.0
67.53232_24.06049,2020-09-20,2020,38,9073.172,39.300003,1.0
67.53232_24.06049,2020-09-27,2020,39,7118.309,0.0,1.0
67.53232_24.06049,2020-10-04,2020,40,5699.808,0.0,1.0
67.53232_24.06049,2020-10-11,2020,41,4631.5557,0.0,1.0
67.53232_24.06049,2020-10-18,2020,42,3921.5447,11.6,1.0
67.53232_24.06049,2020-10-25,2020,43,3644.3918,1.2,1.0
67.53232_24.06049,2020-11-01,2020,44,3500.9944,0.0,1.0
67.53232_24.06049,2020-11-08,2020,45,3193.2344,0.0,1.0
67.53232_24.06049,2020-11-15,2020,46,3014.808,0.0,1.0
67.53232_24.06049,2020-11-22,2020,47,2681.7556,0.0,1.0
67.53232_24.06049,2020-11-29,2020,48,2473.22,0.0,1.0
67.53232_24.06049,2020-12-06,2020,49,2494.3528,0.0,1.0
67.53232_24.06049,2020-12-13,2020,50,2236.4543,0.0,1.0
67.53232_24.06049,2020-12-20,2020,51,1987.4319,0.0,1.0
67.53232_24.06049,2020-12-27,2020,52,1966.413,0.0,1.0
67.53232_24.06049,2021-01-10,2021,1,1808.5312,0.0,1.0
67.53232_24.06049,2021-01-17,2021,2,1801.0736,0.0,1.0
67.53232_24.06049,2021-01-24,2021,3,1964.3348,0.0,1.0
67.53232_24.06049,2021-01-31,2021,4,1725.1317,0.0,1.0
67.53232_24.06049,2021-02-07,2021,5,1533.5358,0.0,1.0
67.53232_24.06049,2021-02-14,2021,6,1466.8483,0.0,1.0
67.53232_24.06049,2021-02-21,2021,7,1370.7233,0.0,1.0
67.53232_24.06049,2021-02-28,2021,8,1253.442,0.0,1.0
67.53232_24.06049,2021-03-07,2021,9,1116.5892,0.0,1.0
67.53232_24.06049,2021-03-14,2021,10,1036.4108,0.0,1.0
67.53232_24.06049,2021-03-21,2021,11,1202.2233,0.0,1.0
67.53232_24.06049,2021-03-28,2021,12,1478.0491,0.0,1.0
67.53232_24.06049,2021-04-04,2021,13,1872.7723,0.0,1.0
67.53232_24.06049,2021-04-11,2021,14,2434.3972,0.0,1.0
67.53232_24.06049,2021-04-18,2021,15,2439.0134,0.0,1.0
67.53232_24.06049,2021-04-25,2021,16,2480.4597,0.0,1.0
67.53232_24.06049,2021-05-02,2021,17,2528.9866,0.0,1.0
67.53232_24.06049,2021-05-09,2021,18,2731.741,0.0,1.0
67.53232_24.06049,2021-05-16,2021,19,2409.317,0.0,1.0
67.53232_24.06049,2021-05-23,2021,20,2379.0847,0.3,1.0
67.53232_24.06049,2021-05-30,2021,21,2440.3616,0.0,1.0
67.53232_24.06049,2021-06-06,2021,22,1131.1697,0.3,1.0
67.53232_24.06049,2021-06-13,2021,23,314.12946,2.6,1.0
67.53232_24.06049,2021-06-20,2021,24,176.50447,3.1000001,1.0
67.53232_24.06049,2021-06-27,2021,25,2723.049,0.4,1.0
67.53232_24.06049,2021-07-04,2021,26,4135.9062,0.1,1.0
67.53232_24.06049,2021-07-11,2021,27,5212.6763,3.2000003,1.0
67.53232_24.06049,2021-07-18,2021,28,7456.8706,73.00001,1.0
67.53232_24.06049,2021-07-25,2021,29,13067.337,2.2,1.0
67.53232_24.06049,2021-08-01,2021,30,13433.953,2.8000002,1.0
67.53232_24.06049,2021-08-08,2021,31,15099.103,2.0,1.0
67.53232_24.06049,2021-08-15,2021,32,10474.302,4.1000004,1.0
67.53232_24.06049,2021-08-22,2021,33,8530.833,1.3000001,1.0
67.53232_24.06049,2021-08-29,2021,34,6525.953,0.8,1.0
67.53232_24.06049,2021-09-05,2021,35,5255.126,46.9,1.0
67.53232_24.06049,2021-09-12,2021,36,4708.259,8.099999,1.0
67.53232_24.06049,2021-09-19,2021,37,4280.7007,15.0,1.0
67.53232_24.06049,2021-09-26,2021,38,4259.0884,25.7,1.0
67.53232_24.06049,2021-10-03,2021,39,3853.615,94.2,1.0
67.53232_24.06049,2021-10-10,2021,40,3309.7065,0.2,1.0
67.53232_24.06049,2021-10-17,2021,41,2917.9153,0.0,1.0
67.53232_24.06049,2021-10-24,2021,42,2955.7144,0.0,1.0
67.53232_24.06049,2021-10-31,2021,43,3059.7869,0.0,1.0
67.53232_24.06049,2021-11-07,2021,44,3313.1228,0.0,1.0
67.53232_24.06049,2021-11-14,2021,45,3044.8494,0.0,1.0
67.53232_24.06049,2021-11-21,2021,46,2640.0212,0.0,1.0
67.53232_24.06049,2021-11-28,2021,47,2296.7734,0.0,1.0
67.53232_24.06049,2021-12-05,2021,48,2000.0134,0.0,1.0
67.53232_24.06049,2021-12-12,2021,49,1799.0134,0.0,1.0
67.53232_24.06049,2021-12-19,2021,50,1653.2344,0.0,1.0
67.53232_24.06049,2021-12-26,2021,51,1626.8549,0.2,1.0
67.53232_24.06049,2021-01-03,2021,53,2007.3505,0.0,1.0
67.53232_24.06049,2022-01-09,2022,1,1479.0447,20.6,1.0
67.53232_24.06049,2022-01-16,2022,2,1508.029,0.0,1.0
67.53232_24.06049,2022-01-23,2022,3,2232.9688,0.3,1.0
67.53232_24.06049,2022-01-30,2022,4,2169.2053,0.0,1.0
67.53232_24.06049,2022-02-06,2022,5,1945.9286,0.0,1.0
67.53232_24.06049,2022-02-13,2022,6,1961.0067,0.0,1.0
67.53232_24.06049,2022-02-20,2022,7,1658.9777,0.0,1.0
67.53232_24.06049,2022-02-27,2022,8,1393.7233,0.0,1.0
67.53232_24.06049,2022-03-06,2022,9,1215.9017,0.0,1.0
67.53232_24.06049,2022-03-13,2022,10,1447.1027,0.0,1.0
67.53232_24.06049,2022-03-20,2022,11,1567.0848,0.0,1.0
67.53232_24.06049,2022-03-27,2022,12,1447.6072,0.0,1.0
67.53232_24.06049,2022-04-03,2022,13,1411.683,0.0,1.0
67.53232_24.06049,2022-04-10,2022,14,1579.5,0.0,1.0
67.53232_24.06049,2022-04-17,2022,15,1486.4241,0.0,1.0
67.53232_24.06049,2022-04-24,2022,16,1429.3125,0.0,1.0
67.53232_24.06049,2022-05-01,2022,17,1358.8303,0.0,1.0
67.53232_24.06049,2022-05-08,2022,18,1385.3036,0.0,1.0
67.53232_24.06049,2022-05-15,2022,19,1471.8438,0.0,1.0
67.53232_24.06049,2022-05-22,2022,20,1487.6608,0.0,1.0
67.53232_24.06049,2022-05-29,2022,21,1612.9509,0.0,1.0
67.53232_24.06049,2022-06-05,2022,22,781.97766,0.0,1.0
67.53232_24.06049,2022-06-12,2022,23,148.2009,0.5,1.0
67.53232_24.06049,2022-06-19,2022,24,8.334822,2.2,1.0
67.53232_24.06049,2022-06-26,2022,25,1.5535715,1.0,1.0
67.53232_24.06049,2022-07-03,2022,26,1530.9978,15.200001,1.0
67.53232_24.06049,2022-07-10,2022,27,7342.7163,153.8,1.0
67.53232_24.06049,2022-07-17,2022,28,11592.005,92.80001,1.0
67.53232_24.06049,2022-07-24,2022,29,10103.998,114.899994,1.0
67.53232_24.06049,2022-07-31,2022,30,11937.186,41.6,1.0
67.53232_24.06049,2022-08-07,2022,31,11273.649,37.199997,1.0
67.53232_24.06049,2022-08-14,2022,32,9684.976,95.7,1.0
67.53232_24.06049,2022-08-21,2022,33,10114.752,71.700005,1.0
67.53232_24.06049,2022-08-28,2022,34,20521.818,28.000002,1.0
67.53232_24.06049,2022-09-04,2022,35,17649.68,1.1,1.0
67.53232_24.06049,2022-09-11,2022,36,10290.994,1.3000001,1.0
67.53232_24.06049,2022-09-18,2022,37,7939.368,4.6000004,1.0
67.53232_24.06049,2022-09-25,2022,38,6653.962,0.0,1.0
67.53232_24.06049,2022-10-02,2022,39,5702.0024,0.5,1.0
67.53232_24.06049,2022-10-09,2022,40,5587.183,0.4,1.0
67.53232_24.06049,2022-10-16,2022,41,4476.4463,0.0,1.0
67.53232_24.06049,2022-10-23,2022,42,4075.0535,0.0,1.0
67.53232_24.06049,2022-10-30,2022,43,3940.9988,0.0,1.0
67.53232_24.06049,2022-11-06,2022,44,3574.2075,0.0,1.0
67.53232_24.06049,2022-11-13,2022,45,3294.6316,0.0,1.0
67.53232_24.06049,2022-11-20,2022,46,3071.7644,0.0,1.0
67.53232_24.06049,2022-11-27,2022,47,2946.8538,0.0,1.0
67.53232_24.06049,2022-12-04,2022,48,2643.9666,0.0,1.0
67.53232_24.06049,2022-12-11,2022,49,2268.845,0.0,1.0
67.53232_24.06049,2022-12-18,2022,50,1982.1663,0.0,1.0
67.53232_24.06049,2022-12-25,2022,51,1801.846,0.0,1.0
67.53232_24.06049,2022-01-02,2022,52,1544.3728,3.3,1.0
67.53232_24.06049,2023-01-08,2023,1,1616.8225,0.0,1.0
67.53232_24.06049,2023-01-15,2023,2,1563.4978,0.0,1.0
67.53232_24.06049,2023-01-22,2023,3,1527.7188,0.0,1.0
67.53232_24.06049,2023-01-29,2023,4,1530.9017,0.0,1.0
67.53232_24.06049,2023-02-05,2023,5,1596.5803,0.0,1.0
67.53232_24.06049,2023-02-12,2023,6,1579.4799,0.0,1.0
67.53232_24.06049,2023-02-19,2023,7,1550.4219,0.0,1.0
67.53232_24.06049,2023-02-26,2023,8,1426.6562,0.0,1.0
67.53232_24.06049,2023-03-05,2023,9,1484.3125,0.0,1.0
67.53232_24.06049,2023-03-12,2023,10,1448.5134,0.0,1.0
67.53232_24.06049,2023-03-19,2023,11,1528.0134,0.2,1.0
67.53232_24.06049,2023-03-26,2023,12,1497.8839,7.9999995,1.0
67.53232_24.06049,2023-04-02,2023,13,1715.6428,1.1,1.0
67.53232_24.06049,2023-04-09,2023,14,2128.942,0.6,1.0
67.53232_24.06049,2023-04-16,2023,15,2275.299,0.0,1.0
67.53232_24.06049,2023-04-23,2023,16,2307.509,0.0,1.0
67.53232_24.06049,2023-04-30,2023,17,2021.3572,11.8,1.0
67.53232_24.06049,2023-05-07,2023,18,2664.8928,1.3,1.0
67.53232_24.06049,2023-05-14,2023,19,2878.0715,0.0,1.0
67.53232_24.06049,2023-05-21,2023,20,2850.3572,0.0,1.0
67.53232_24.06049,2023-05-28,2023,21,2546.3125,0.0,1.0
67.53232_24.06049,2023-06-04,2023,22,1411.6295,0.0,1.0
67.53232_24.06049,2023-06-11,2023,23,465.8884,0.1,1.0
67.53232_24.06049,2023-06-18,2023,24,489.97992,43.200005,1.0
67.53232_24.06049,2023-06-25,2023,25,989.375,1.9,1.0
67.53232_24.06049,2023-07-02,2023,26,1573.4866,6.3,1.0
67.53232_24.06049,2023-07-09,2023,27,7998.672,28.499998,1.0
67.53232_24.06049,2023-07-16,2023,28,13355.453,4.0,1.0
67.53232_24.06049,2023-07-23,2023,29,12345.268,46.699997,1.0
67.53232_24.06049,2023-07-30,2023,30,14826.446,16.4,1.0
67.53232_24.06049,2023-08-06,2023,31,15882.368,19.5,1.0
67.53232_24.06049,2023-08-13,2023,32,12920.157,20.5,1.0
67.53232_24.06049,2023-08-20,2023,33,11687.783,8.3,1.0
67.53232_24.06049,2023-08-27,2023,34,10202.101,16.5,1.0
67.53232_24.06049,2023-09-03,2023,35,8151.386,10.6,1.0
67.53232_24.06049,2023-09-10,2023,36,7086.9453,3.9,1.0
67.53232_24.06049,2023-09-17,2023,37,5701.4443,3.4,1.0
67.53232_24.06049,2023-09-24,2023,38,4807.288,62.999996,1.0
67.53232_24.06049,2023-10-01,2023,39,4442.2354,0.0,1.0
67.53232_24.06049,2023-10-08,2023,40,4059.7495,0.5,1.0
67.53232_24.06049,2023-10-15,2023,41,3419.059,1.4000001,1.0
67.53232_24.06049,2023-10-22,2023,42,3067.74,0.3,1.0
67.53232_24.06049,2023-10-29,2023,43,3490.0469,0.0,1.0
67.53232_24.06049,2023-11-05,2023,44,3476.1646,0.0,1.0
67.53232_24.06049,2023-11-12,2023,45,3084.0034,0.2,1.0
67.53232_24.06049,2023-11-19,2023,46,2783.5256,0.0,1.0
67.53232_24.06049,2023-11-26,2023,47,2524.0269,1.4,1.0
67.53232_24.06049,2023-12-03,2023,48,2202.8098,0.0,1.0
67.53232_24.06049,2023-12-10,2023,49,1913.8314,0.0,1.0
67.53232_24.06049,2023-12-17,2023,50,1784.365,0.0,1.0
67.53232_24.06049,2023-12-24,2023,51,1671.3236,0.0,1.0
67.53232_24.06049,2023-01-01,2023,52,1703.9442,0.0,1.0
67.53232_24.06049,2023-12-31,2023,52,1575.7377,0.0,1.0
67.53232_24.06049,2023-01-01,2023,52,1703.9442,0.0,1.0
67.53232_24.06049,2023-12-31,2023,52,1575.7377,0.0,1.0
67.65088_23.93122,2019-01-06,2019,1,1588.3063,0.1,0.0
67.65088_23.93122,2019-01-13,2019,2,1471.567,1.8000001,0.0
67.65088_23.93122,2019-01-20,2019,3,1393.817,0.0,0.0
67.65088_23.93122,2019-01-27,2019,4,1396.0491,3.3999999,0.0
67.65088_23.93122,2019-02-03,2019,5,1481.5267,0.7,0.0
67.65088_23.93122,2019-02-10,2019,6,1813.4286,0.0,0.0
67.65088_23.93122,2019-02-17,2019,7,1818.7545,0.0,0.0
67.65088_23.93122,2019-02-24,2019,8,2052.6519,0.0,0.0
67.65088_23.93122,2019-03-03,2019,9,2249.9866,2.6,0.0
67.65088_23.93122,2019-03-10,2019,10,3169.5178,1.2,0.0
67.65088_23.93122,2019-03-17,2019,11,2982.567,0.70000005,0.0
67.65088_23.93122,2019-03-24,2019,12,2694.7144,0.0,0.0
67.65088_23.93122,2019-03-31,2019,13,2531.6428,0.0,0.0
67.65088_23.93122,2019-04-07,2019,14,2375.2769,0.0,0.0
67.65088_23.93122,2019-04-14,2019,15,2056.0715,0.0,0.0
67.65088_23.93122,2019-04-21,2019,16,2217.683,0.6,0.0
67.65088_23.93122,2019-04-28,2019,17,3041.1116,0.0,0.0
67.65088_23.93122,2019-05-05,2019,18,4090.3481,0.0,0.0
67.65088_23.93122,2019-05-12,2019,19,4151.317,0.0,0.0
67.65088_23.93122,2019-05-19,2019,20,4038.2722,0.5,0.0
67.65088_23.93122,2019-05-26,2019,21,3698.2053,0.0,0.0
67.65088_23.93122,2019-06-02,2019,22,2740.174,0.0,0.0
67.65088_23.93122,2019-06-09,2019,23,1109.808,0.0,0.0
67.65088_23.93122,2019-06-16,2019,24,755.9196,1.3,0.0
67.65088_23.93122,2019-06-23,2019,25,1030.5848,2.1000001,0.0
67.65088_23.93122,2019-06-30,2019,26,2015.5223,4.5,0.0
67.65088_23.93122,2019-07-07,2019,27,2435.8616,5.0,0.0
67.65088_23.93122,2019-07-14,2019,28,2935.576,3.6000004,0.0
67.65088_23.93122,2019-07-21,2019,29,10364.024,3.9,0.0
67.65088_23.93122,2019-07-28,2019,30,13019.167,6.8,0.0
67.65088_23.93122,2019-08-04,2019,31,13284.505,283.5,0.0
67.65088_23.93122,2019-08-11,2019,32,14412.556,121.6,0.0
67.65088_23.93122,2019-08-18,2019,33,12968.016,7.6,0.0
67.65088_23.93122,2019-08-25,2019,34,12158.969,1.4,0.0
67.65088_23.93122,2019-09-01,2019,35,11346.939,55.6,0.0
67.65088_23.93122,2019-09-08,2019,36,8793.712,8.6,0.0
67.65088_23.93122,2019-09-15,2019,37,7542.5234,2.3000002,0.0
67.65088_23.93122,2019-09-22,2019,38,6121.354,1.0000001,0.0
67.65088_23.93122,2019-09-29,2019,39,5015.0054,47.2,0.0
67.65088_23.93122,2019-10-06,2019,40,4269.7163,10.9,0.0
67.65088_23.93122,2019-10-13,2019,41,4082.3225,0.6,0.0
67.65088_23.93122,2019-10-20,2019,42,3687.0156,0.0,0.0
67.65088_23.93122,2019-10-27,2019,43,3500.566,0.0,0.0
67.65088_23.93122,2019-11-03,2019,44,3319.2925,3.2,0.0
67.65088_23.93122,2019-11-10,2019,45,3101.2188,1.1,0.0
67.65088_23.93122,2019-11-17,2019,46,2995.5234,0.6,0.0
67.65088_23.93122,2019-11-24,2019,47,3079.2644,0.0,0.0
67.65088_23.93122,2019-12-01,2019,48,2720.2903,0.0,0.0
67.65088_23.93122,2019-12-08,2019,49,2598.9219,1.6999999,0.0
67.65088_23.93122,2019-12-15,2019,50,2525.4978,1.4000001,0.0
67.65088_23.93122,2019-12-22,2019,51,2196.7612,0.0,0.0
67.65088_23.93122,2019-12-29,2019,52,2277.2478,0.0,0.0
67.65088_23.93122,2020-01-05,2020,1,2121.3503,0.0,0.0
67.65088_23.93122,2020-01-12,2020,2,1862.0803,17.400002,0.0
67.65088_23.93122,2020-01-19,2020,3,1745.8795,0.0,0.0
67.65088_23.93122,2020-01-26,2020,4,1993.1897,0.0,0.0
67.65088_23.93122,2020-02-02,2020,5,2227.7478,0.0,0.0
67.65088_23.93122,2020-02-09,2020,6,1994.6361,0.0,0.0
67.65088_23.93122,2020-02-16,2020,7,2007.7233,0.0,0.0
67.65088_23.93122,2020-02-23,2020,8,1795.1094,0.0,0.0
67.65088_23.93122,2020-03-01,2020,9,1535.8973,0.0,0.0
67.65088_23.93122,2020-03-08,2020,10,1681.8683,0.5,0.0
67.65088_23.93122,2020-03-15,2020,11,1885.5983,0.0,0.0
67.65088_23.93122,2020-03-22,2020,12,3055.5222,0.0,0.0
67.65088_23.93122,2020-03-29,2020,13,3187.1072,1.5000001,0.0
67.65088_23.93122,2020-04-05,2020,14,2735.4597,0.0,0.0
67.65088_23.93122,2020-04-12,2020,15,3540.0625,0.0,0.0
67.65088_23.93122,2020-04-19,2020,16,3417.6472,0.0,0.0
67.65088_23.93122,2020-04-26,2020,17,2922.5403,0.0,0.0
67.65088_23.93122,2020-05-03,2020,18,3359.174,0.0,0.0
67.65088_23.93122,2020-05-10,2020,19,3408.9285,0.0,0.0
67.65088_23.93122,2020-05-17,2020,20,3474.2947,0.0,0.0
67.65088_23.93122,2020-05-24,2020,21,3741.866,0.0,0.0
67.65088_23.93122,2020-05-31,2020,22,3349.0847,0.8,0.0
67.65088_23.93122,2020-06-07,2020,23,1623.2322,2.4,0.0
67.65088_23.93122,2020-06-14,2020,24,1401.3928,2.1,0.0
67.65088_23.93122,2020-06-21,2020,25,2130.8394,3.1999998,0.0
67.65088_23.93122,2020-06-28,2020,26,2867.895,3.4,0.0
67.65088_23.93122,2020-07-05,2020,27,5570.8525,1.2,0.0
67.65088_23.93122,2020-07-12,2020,28,9193.319,98.100006,0.0
67.65088_23.93122,2020-07-19,2020,29,10126.276,2.4,0.0
67.65088_23.93122,2020-07-26,2020,30,9777.101,26.2,0.0
67.65088_23.93122,2020-08-02,2020,31,10056.851,6.5000005,0.0
